word;substitution
analysi;analys 
analyz;analys 
behaviour;behavior 
classifi;classif 
consider;consid 
ecologi;ecolog 
environment;environ 
focus;focu 
greater;great 
growth;grow 
highlight;highli 
histori;histor 
identifi;identif 
increasingli;increas 
methodologi;method 
migratori;migrat 
occurr;occur 
participatori;particip 
particularli;particular 
polici;polit 
product;produc 
programm;program 
respond;respons 
scientif;scienc 
scientist;scienc 
significantli;signific 
valuabl;valu 
children;child 
character;charact 
competit;compet 
conceptu;concept 
conclud;conclus 
consumpt;consum 
gambler;gambl 
healthi;health 
hypothesi;hypothes 
predictor ;predict 
problemat;problem 
sexual;sex 
strategi;strateg 
systemat;system 
teacher;teach 
videogam;game 
violenc;violent 
crowd sourc;crowdsourc 
crowd fund;crowdfund 
social media;sns social media 
social network;sns social network 
socialnetwork;sns social network 
citizen scienc;citizenscience 
video game;game 
comput game;game 
prison dilemma game;prisonerdilemma 
prison dilemma;prisonerdilemma 
ultimatum game;ultimatumgame 
structur equat model;sem 
internet game disord;igd game disord 
massiv multiplay onlin;mmo game 
massive multiplay onlin;mmo game 
massiv multiplai onlin;mmo game 
mmorpg;mmo game 
mmog;mmo game 
confirmatori factor analys;cfa 
control group;controlgroup 
experiment group;experimentgroup 
zero sum game;zerosumgame 
exploratori factor analys;efa 
nash equilibrium;nashequ 
nash equilibria;nashequ 
photographi;photo 
photograph;photo 
pedagogi;pedagog 
learner;learn 
second life;secondlife 
serious game;seriousgam game 
serious gam;seriousgam game 
aids;hiv 
zero sum;zerosumgame 
moba;moba game 
gamer;game 
meta analys;metaanalys 
system review;systemreview 
literatur review;literaturreview 
visual art;visart 
perform art;perfart 
art educ;arteduc art educ 
cultur educ;cultureduc cultur educ 
aesthet educ;aestheduc aesthet educ 
gamifi;gamif 
augment realiti;augmentrealiti 
microblogg;microblog 
igdq;igd 
justin tv;justintv 
theatric;theatr 
hip hop;hiphop 
e-book;ebook 
on-line;online 
3D;threedimension 
nintendo;nintendo game 
wii;wii game 
playstation;playstation game 
xbox;xbox game 
CD-ROM;CDROM 
gamer;game 
player;plai
artist;art
gameplai;game 
actor;act
